flask,pallets/flask,False,The Python micro framework for building web applications.
flasky,miguelgrinberg/flasky,False,"Companion code to my O'Reilly book ""Flask Web Development"", second edition."
helloflask,greyli/helloflask,False,"Hello, Flask!"
awesome-flask,humiaozuzu/awesome-flask,False,A curated list of awesome Flask resources and plugins
flask-website,pallets/flask-website,False,"The Flask website, built with Flask!"
flask-admin,flask-admin/flask-admin,False,Simple and extensible administrative interface framework for Flask
flask-restful,flask-restful/flask-restful,False,Simple framework for creating REST APIs
flask-login,maxcountryman/flask-login,False,Flask user session management.
flaskbb,flaskbb/flaskbb,False,A classic Forum Software in Python using Flask.
flask-sqlalchemy,pallets-eco/flask-sqlalchemy,False,Adds SQLAlchemy support to Flask
flask-boilerplate,realpython/flask-boilerplate,False,"Boilerplate template for a Python Flask application with Flask-SQLAlchemy, Flask-WTF, Fabric, Coverage, and Bootstrap"
FlaskIntroduction,jakerieger/FlaskIntroduction,False,Repo for my tutorial on freeCodeCamp.org
discover-flask,realpython/discover-flask,False,Full Stack Web Development with Flask.
cookiecutter-flask,cookiecutter-flask/cookiecutter-flask,False,"A flask template with Bootstrap, asset bundling+minification with webpack, starter templates, and registration/authentication. For use with cookiecutter."
flask,roytuts/flask,False,
Flask-AppBuilder,dpgaspar/Flask-AppBuilder,False,"Simple and rapid application development framework, built on top of Flask. includes detailed security, auto CRUD generation for your models, google charts and much more. Demo (login with guest/welcome) - http://flaskappbuilder.pythonanywhere.com/"
Flask-SocketIO,miguelgrinberg/Flask-SocketIO,False,Socket.IO integration for Flask applications.
flask-bootstrap,mbr/flask-bootstrap,False,Ready-to-use Twitter-bootstrap for use in Flask.
rest-apis-flask-python,tecladocode/rest-apis-flask-python,False,"Projects and e-book for our course, REST APIs with Flask and Python"
flask-restplus,noirbizarre/flask-restplus,False,"Fully featured framework for fast, easy and documented API development with Flask"
